form,block,item,code_unit,type,pu_type,codeId,numLines,parseStatus
XSIM2,BLK4_TSI_DES_B,SIDS_DES,KEY-ENTER,TRIGGER,,346,2,true
XSIM2,BLK4_TSI_DES_Q,BLK4_REMARK,WHEN-BUTTON-PRESSED,TRIGGER,,367,7,true
XSIM2,BLK4_TSI_DES_Q,SIDS_DES,KEY-NEXT-ITEM,TRIGGER,,363,2,true
XSIM2,BLK4_TSI_DES_Q,SIDS_DES,KEY-ENTER,TRIGGER,,362,2,true
XSIM2,BLK4_TSI_DES_A,BLK4_REMARK,WHEN-BUTTON-PRESSED,TRIGGER,,382,7,true
XSIM2,BLK4_TSI_DES_A,SIDS_DES,KEY-NEXT-ITEM,TRIGGER,,378,3,true
XSIM2,BLK4_TSI_DES_A,SIDS_DES,KEY-ENTER,TRIGGER,,377,2,true
XSIM2,BLK5_CONTROL,BLK7B_CANCEL,WHEN-BUTTON-PRESSED,TRIGGER,,418,7,true
XSIM2,BLK5_CONTROL,BLK5_DESC,WHEN-BUTTON-PRESSED,TRIGGER,,391,23,true
XSIM2,BLK5_CONTROL,BLK5_OK,WHEN-BUTTON-PRESSED,TRIGGER,,393,67,true
XSIM2,BLK5_CONTROL,BLK5_DELETE,WHEN-BUTTON-PRESSED,TRIGGER,,397,9,true
XSIM2,BLK5_CONTROL,BLK5_CANCEL,WHEN-BUTTON-PRESSED,TRIGGER,,395,10,true
XSIM2,BLK5_CONTROL,BLK7B_PREV,WHEN-BUTTON-PRESSED,TRIGGER,,408,15,true
XSIM2,BLK5_CONTROL,BLK7B_NEXT,WHEN-BUTTON-PRESSED,TRIGGER,,410,15,true
XSIM2,BLK5_CONTROL,BLK7B_LAST,WHEN-BUTTON-PRESSED,TRIGGER,,412,15,true
XSIM2,BLK5_CONTROL,BLK7B_DELETE,WHEN-BUTTON-PRESSED,TRIGGER,,414,2,true
XSIM2,BLK5_CONTROL,BLK7B_OK,WHEN-BUTTON-PRESSED,TRIGGER,,416,5,true
XSIM2,BLK5_CONTROL,BLK7B_COPY_DES,WHEN-BUTTON-PRESSED,TRIGGER,,399,5,true
XSIM2,BLK5_CONTROL,SIIT_ITMNUM,POST-CHANGE,TRIGGER,,401,10,true
XSIM2,BLK5_CONTROL,BLK7B_FIRST,WHEN-BUTTON-PRESSED,TRIGGER,,406,15,true
